"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Jun 17 09:08:16 UTC 2024","Mon Jun 17 09:08:16 UTC 2024","413","Chrome","tests/failedTest.spec.js","","","","Test failed results for Locale DE in int Einvironment and Realm europe",""
"passed","Mon Jun 17 09:08:16 UTC 2024","Mon Jun 17 09:08:18 UTC 2024","1427","Chrome","tests/homeNP.spec.js","","","","Go home page KO for Locale DE in int Einvironment and Realm europe",""
"passed","Mon Jun 17 09:08:12 UTC 2024","Mon Jun 17 09:08:13 UTC 2024","1796","Chrome","tests/home.spec.js","","","","GO HOME PAGE OK for Locale GB in int Einvironment and Realm europe",""
"failed","Mon Jun 17 09:08:12 UTC 2024","Mon Jun 17 09:08:12 UTC 2024","488","Chrome","tests/failedTest.spec.js","","","","Test failed results for Locale GB in int Einvironment and Realm europe",""
"failed","Mon Jun 17 09:08:13 UTC 2024","Mon Jun 17 09:08:14 UTC 2024","179","Chrome","tests/variables.spec.js","","","","Testvars for Locale GB in int Einvironment and Realm europe",""
"passed","Mon Jun 17 09:08:13 UTC 2024","Mon Jun 17 09:08:14 UTC 2024","1619","Chrome","tests/homeNP.spec.js","","","","Go home page KO for Locale GB in int Einvironment and Realm europe",""
"failed","Mon Jun 17 09:08:32 UTC 2024","Mon Jun 17 09:08:32 UTC 2024","243","Chrome","tests/variables.spec.js","","","","Testvars for Locale JP in int Einvironment and Realm asia",""
"passed","Mon Jun 17 09:08:19 UTC 2024","Mon Jun 17 09:08:22 UTC 2024","2937","Chrome","tests/home.spec.js","","","","GO HOME PAGE OK for Locale US in int Einvironment and Realm america",""
"passed","Mon Jun 17 09:08:29 UTC 2024","Mon Jun 17 09:08:32 UTC 2024","2358","Chrome","tests/home.spec.js","","","","GO HOME PAGE OK for Locale JP in int Einvironment and Realm asia",""
"passed","Mon Jun 17 09:08:20 UTC 2024","Mon Jun 17 09:08:23 UTC 2024","2758","Chrome","tests/homeNP.spec.js","","","","Go home page KO for Locale US in int Einvironment and Realm america",""
"failed","Mon Jun 17 09:08:27 UTC 2024","Mon Jun 17 09:08:27 UTC 2024","156","Chrome","tests/variables.spec.js","","","","Testvars for Locale CA in int Einvironment and Realm america",""
"failed","Mon Jun 17 09:08:24 UTC 2024","Mon Jun 17 09:08:25 UTC 2024","410","Chrome","tests/failedTest.spec.js","","","","Test failed results for Locale CA in int Einvironment and Realm america",""
"passed","Mon Jun 17 09:08:34 UTC 2024","Mon Jun 17 09:08:36 UTC 2024","2127","Chrome","tests/home.spec.js","","","","GO HOME PAGE OK for Locale NZ in int Einvironment and Realm asia",""
"passed","Mon Jun 17 09:08:35 UTC 2024","Mon Jun 17 09:08:37 UTC 2024","1919","Chrome","tests/homeNP.spec.js","","","","Go home page KO for Locale NZ in int Einvironment and Realm asia",""
"failed","Mon Jun 17 09:08:17 UTC 2024","Mon Jun 17 09:08:17 UTC 2024","184","Chrome","tests/variables.spec.js","","","","Testvars for Locale DE in int Einvironment and Realm europe",""
"passed","Mon Jun 17 09:08:31 UTC 2024","Mon Jun 17 09:08:33 UTC 2024","1985","Chrome","tests/homeNP.spec.js","","","","Go home page KO for Locale JP in int Einvironment and Realm asia",""
"passed","Mon Jun 17 09:08:25 UTC 2024","Mon Jun 17 09:08:28 UTC 2024","2964","Chrome","tests/homeNP.spec.js","","","","Go home page KO for Locale CA in int Einvironment and Realm america",""
"failed","Mon Jun 17 09:08:19 UTC 2024","Mon Jun 17 09:08:20 UTC 2024","394","Chrome","tests/failedTest.spec.js","","","","Test failed results for Locale US in int Einvironment and Realm america",""
"passed","Mon Jun 17 09:08:16 UTC 2024","Mon Jun 17 09:08:17 UTC 2024","1488","Chrome","tests/home.spec.js","","","","GO HOME PAGE OK for Locale DE in int Einvironment and Realm europe",""
"passed","Mon Jun 17 09:08:24 UTC 2024","Mon Jun 17 09:08:27 UTC 2024","2920","Chrome","tests/home.spec.js","","","","GO HOME PAGE OK for Locale CA in int Einvironment and Realm america",""
"failed","Mon Jun 17 09:08:34 UTC 2024","Mon Jun 17 09:08:35 UTC 2024","417","Chrome","tests/failedTest.spec.js","","","","Test failed results for Locale NZ in int Einvironment and Realm asia",""
"failed","Mon Jun 17 09:08:22 UTC 2024","Mon Jun 17 09:08:22 UTC 2024","163","Chrome","tests/variables.spec.js","","","","Testvars for Locale US in int Einvironment and Realm america",""
"failed","Mon Jun 17 09:08:29 UTC 2024","Mon Jun 17 09:08:30 UTC 2024","1020","Chrome","tests/failedTest.spec.js","","","","Test failed results for Locale JP in int Einvironment and Realm asia",""
"failed","Mon Jun 17 09:08:36 UTC 2024","Mon Jun 17 09:08:37 UTC 2024","178","Chrome","tests/variables.spec.js","","","","Testvars for Locale NZ in int Einvironment and Realm asia",""
