"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1958","Go home page KO for Locale JP in dev Einvironment and Realm asia","Chrome","Mon Sep 16 18:58:47 UTC 2024","passed","Mon Sep 16 18:58:49 UTC 2024","","homeNP.spec.js","",""
"","1456","Go home page KO for Locale NZ in int Einvironment and Realm asia","Chrome","Mon Sep 16 18:58:31 UTC 2024","passed","Mon Sep 16 18:58:32 UTC 2024","","homeNP.spec.js","",""
"","1658","Go home page KO for Locale GB in int Einvironment and Realm europe","Chrome","Mon Sep 16 18:58:14 UTC 2024","passed","Mon Sep 16 18:58:16 UTC 2024","","homeNP.spec.js","",""
"","350","Testvars for Locale CA in int Einvironment and Realm america","Chrome","Mon Sep 16 18:58:02 UTC 2024","failed","Mon Sep 16 18:58:03 UTC 2024","","variables.spec.js","",""
"","389","Testvars for Locale JP in dev Einvironment and Realm asia","Chrome","Mon Sep 16 18:58:14 UTC 2024","failed","Mon Sep 16 18:58:15 UTC 2024","","variables.spec.js","",""
"","1928","Go home page KO for Locale GB in dev Einvironment and Realm europe","Chrome","Mon Sep 16 18:58:34 UTC 2024","passed","Mon Sep 16 18:58:36 UTC 2024","","homeNP.spec.js","",""
"","2542","Go home page KO for Locale US in int Einvironment and Realm america","Chrome","Mon Sep 16 18:58:20 UTC 2024","passed","Mon Sep 16 18:58:22 UTC 2024","","homeNP.spec.js","",""
"","2216","GO HOME PAGE OK for Locale CA in dev Einvironment and Realm america","Chrome","Mon Sep 16 18:58:48 UTC 2024","passed","Mon Sep 16 18:58:50 UTC 2024","","home.spec.js","",""
"","361","Test failed results for Locale CA in dev Einvironment and Realm america","Chrome","Mon Sep 16 18:58:13 UTC 2024","failed","Mon Sep 16 18:58:13 UTC 2024","","failedTest.spec.js","",""
"","358","Testvars for Locale NZ in dev Einvironment and Realm asia","Chrome","Mon Sep 16 18:58:16 UTC 2024","failed","Mon Sep 16 18:58:16 UTC 2024","","variables.spec.js","",""
"","1964","Go home page KO for Locale DE in dev Einvironment and Realm europe","Chrome","Mon Sep 16 18:58:37 UTC 2024","passed","Mon Sep 16 18:58:39 UTC 2024","","homeNP.spec.js","",""
"","440","Testvars for Locale GB in int Einvironment and Realm europe","Chrome","Mon Sep 16 18:57:57 UTC 2024","failed","Mon Sep 16 18:57:58 UTC 2024","","variables.spec.js","",""
"","360","Test failed results for Locale NZ in dev Einvironment and Realm asia","Chrome","Mon Sep 16 18:58:16 UTC 2024","failed","Mon Sep 16 18:58:17 UTC 2024","","failedTest.spec.js","",""
"","2589","GO HOME PAGE OK for Locale CA in int Einvironment and Realm america","Chrome","Mon Sep 16 18:58:28 UTC 2024","passed","Mon Sep 16 18:58:31 UTC 2024","","home.spec.js","",""
"","351","Testvars for Locale US in int Einvironment and Realm america","Chrome","Mon Sep 16 18:58:01 UTC 2024","failed","Mon Sep 16 18:58:01 UTC 2024","","variables.spec.js","",""
"","4530","GO HOME PAGE OK for Locale DE in int Einvironment and Realm europe","Chrome","Mon Sep 16 18:58:18 UTC 2024","passed","Mon Sep 16 18:58:23 UTC 2024","","home.spec.js","",""
