"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1258","Go home page KO for Locale GB in int Einvironment and Realm europe","Chrome","Mon Sep 15 19:28:39 UTC 2025","passed","Mon Sep 15 19:28:40 UTC 2025","","homeNP.spec.js","",""
"","314","Test failed results for Locale DE in int Einvironment and Realm europe","Chrome","Mon Sep 15 19:29:20 UTC 2025","failed","Mon Sep 15 19:29:20 UTC 2025","","failedTest.spec.js","",""
"","327","Test failed results for Locale NZ in int Einvironment and Realm asia","Chrome","Mon Sep 15 19:29:27 UTC 2025","failed","Mon Sep 15 19:29:27 UTC 2025","","failedTest.spec.js","",""
"","315","Testvars for Locale DE in int Einvironment and Realm europe","Chrome","Mon Sep 15 19:26:49 UTC 2025","failed","Mon Sep 15 19:26:50 UTC 2025","","variables.spec.js","",""
"","319","Testvars for Locale JP in int Einvironment and Realm asia","Chrome","Mon Sep 15 19:26:55 UTC 2025","failed","Mon Sep 15 19:26:55 UTC 2025","","variables.spec.js","",""
"","3917","GO HOME PAGE OK for Locale CA in int Einvironment and Realm america","Chrome","Mon Sep 15 19:29:54 UTC 2025","passed","Mon Sep 15 19:29:58 UTC 2025","","home.spec.js","",""
"","4648","Go home page KO for Locale CA in int Einvironment and Realm america","Chrome","Mon Sep 15 19:28:50 UTC 2025","passed","Mon Sep 15 19:28:55 UTC 2025","","homeNP.spec.js","",""
"","981","Go home page KO for Locale DE in int Einvironment and Realm europe","Chrome","Mon Sep 15 19:28:42 UTC 2025","passed","Mon Sep 15 19:28:43 UTC 2025","","homeNP.spec.js","",""
"","328","Test failed results for Locale CA in int Einvironment and Realm america","Chrome","Mon Sep 15 19:29:24 UTC 2025","failed","Mon Sep 15 19:29:24 UTC 2025","","failedTest.spec.js","",""
"","3663","Go home page KO for Locale NZ in int Einvironment and Realm asia","Chrome","Mon Sep 15 19:29:02 UTC 2025","passed","Mon Sep 15 19:29:05 UTC 2025","","homeNP.spec.js","",""
"","314","Testvars for Locale US in int Einvironment and Realm america","Chrome","Mon Sep 15 19:26:51 UTC 2025","failed","Mon Sep 15 19:26:52 UTC 2025","","variables.spec.js","",""
"","367","Testvars for Locale GB in int Einvironment and Realm europe","Chrome","Mon Sep 15 19:26:48 UTC 2025","failed","Mon Sep 15 19:26:48 UTC 2025","","variables.spec.js","",""
"","1383","GO HOME PAGE OK for Locale DE in int Einvironment and Realm europe","Chrome","Mon Sep 15 19:29:46 UTC 2025","passed","Mon Sep 15 19:29:47 UTC 2025","","home.spec.js","",""
"","311","Test failed results for Locale US in int Einvironment and Realm america","Chrome","Mon Sep 15 19:29:22 UTC 2025","failed","Mon Sep 15 19:29:22 UTC 2025","","failedTest.spec.js","",""
"","318","Testvars for Locale NZ in int Einvironment and Realm asia","Chrome","Mon Sep 15 19:26:57 UTC 2025","failed","Mon Sep 15 19:26:57 UTC 2025","","variables.spec.js","",""
"","3720","Go home page KO for Locale JP in int Einvironment and Realm asia","Chrome","Mon Sep 15 19:28:56 UTC 2025","passed","Mon Sep 15 19:29:00 UTC 2025","","homeNP.spec.js","",""
"","3888","GO HOME PAGE OK for Locale US in int Einvironment and Realm america","Chrome","Mon Sep 15 19:29:49 UTC 2025","passed","Mon Sep 15 19:29:53 UTC 2025","","home.spec.js","",""
"","1343","GO HOME PAGE OK for Locale JP in int Einvironment and Realm asia","Chrome","Mon Sep 15 19:30:00 UTC 2025","passed","Mon Sep 15 19:30:01 UTC 2025","","home.spec.js","",""
"","1594","GO HOME PAGE OK for Locale GB in int Einvironment and Realm europe","Chrome","Mon Sep 15 19:29:43 UTC 2025","passed","Mon Sep 15 19:29:45 UTC 2025","","home.spec.js","",""
"","1320","GO HOME PAGE OK for Locale NZ in int Einvironment and Realm asia","Chrome","Mon Sep 15 19:30:03 UTC 2025","passed","Mon Sep 15 19:30:04 UTC 2025","","home.spec.js","",""
"","4075","Go home page KO for Locale US in int Einvironment and Realm america","Chrome","Mon Sep 15 19:28:44 UTC 2025","passed","Mon Sep 15 19:28:48 UTC 2025","","homeNP.spec.js","",""
"","350","Test failed results for Locale GB in int Einvironment and Realm europe","Chrome","Mon Sep 15 19:29:18 UTC 2025","failed","Mon Sep 15 19:29:18 UTC 2025","","failedTest.spec.js","",""
"","327","Testvars for Locale CA in int Einvironment and Realm america","Chrome","Mon Sep 15 19:26:53 UTC 2025","failed","Mon Sep 15 19:26:53 UTC 2025","","variables.spec.js","",""
"","325","Test failed results for Locale JP in int Einvironment and Realm asia","Chrome","Mon Sep 15 19:29:25 UTC 2025","failed","Mon Sep 15 19:29:26 UTC 2025","","failedTest.spec.js","",""
